,X,Y,OBJECTID,LICENSEE,LICENSE_NUM,DBA,OTP_CA10,ADDRESS,CITY,STATE,PROGRAM_ZIP,PHONE_NUMBER,TOTAL_SLOTS,OPERATING_HOURS,DISPENSING_HOURS,WEEKEND_HOURS,WEEKEND_DISPENSING_HOURS,PROGRAM_DIRECTOR,MEDICAL_DIRECTOR,LATITUDE,LONGITUDE,COUNTYNAME
0,-121.8841515,37.7162190000001,1,"California Forensic Medical Group, Inc ", 01-100 ,,249M,5325 Broder Boulevard,Dublin,CA,94568,(925) 551-6700,120,7:00am - 4am,1:00am - 7:30am ,1:00am - 7:30am,1:00am - 7:30am,Lisa Goodspeed,"Kelly-Ann Kelly, M.D.",37.7159264715793,-121.884151332362,Alameda County
1,-122.102244,37.6871850000001,2,"Humanistic Alternatives to Addiction Research and Treatment, Inc.", 01-94 ,,309M,20094 Mission Boulevard,Hayward,CA,94541,(510) 727-9755,400,5:30am - 2:00pm,6:00am - 9:00am; 10:00 - 12:00pm ,7:00am - 10:00am,7:30am - 9:30am,"Christopher Sobky, MFT","Mikael Martinez, M.D.",37.687185,-122.102244,Alameda County
2,-122.248314,37.7911800000001,3,"Addiction Research and Treatment, Inc.", 01-96 ,BAART Programs Oakland,186M,1124 International Boulevard,Oakland,CA,94606,(510) 533-0800,650,6:00am - 2:00pm,6:00am - 1:00pm; Thurs 6:00am - 12:00pm,6:45am - 10:45am,7:00am - 10:30am,Lisa Fitzpatrick,"Ian Johnson, M.D.",37.7910218334871,-122.248454815973,Alameda County
3,-122.248314,37.7911800000001,4,"BAART Behavioral Health Services, Inc.", 01-97 ,BAART Programs Oakland,186M,1124 International Boulevard,Oakland,CA,94606,(510) 533-0800,50,6am - 2pm,6:00am - 1:00pm; Thurs 6:00am - 12:00pm,6:45am - 10:45am,7:00am - 10:30am,Lisa Fitzpatrick,"Ian Johnson, M.D.",37.7910218334871,-122.248454815973,Alameda County
4,-122.080329,37.665423,5,"Successful Alternatives For Addiction & Counseling Services, Inc.", 01-98 ,MedMark Treatment Centers - Hayward,304M,795 Fletcher Lane,Hayward,CA,94544,(510) 247-8300,365,5am - 1:30pm,5:00am - 1:00pm,8:00am - 10:30am,8:00am - 10:30am,Serena Urive,"Gilbert Greene, D.O.",37.6655209006291,-122.080494710226,Alameda County
5,-122.167134,37.7392860000001,6,"Lifeline Treatment Services, Inc.", 01-99 ,,354M,10429 International Boulevard,Oakland,CA,94603,(510) 777-8448,375,6am - 2:30pm (Lunch 10-10:30am),6:00am - 10:00am; 10:30am - 1:30pm,8:00am - 11:15am,8:00am - 11:15am,Evelyn Nelson,"Michael Yadegari, M.D.",37.739286,-122.167134,Alameda County
6,-120.780580617,38.355842323,7,"Gold Country Health Initiative, LLC", 03-01,,403M,820 & 830 State Highway 88,Jackson,CA,95642,(209) 257-1501,100,7:00am - 3:30pm (Lunch 11am-11:30am),7:15am - 11:00; 11:30am - 3:30pm,Closed Saturday & Sunday,Closed Saturday & Sunday,Mary Anne Laramee,"Ernest J. Vasti, M.D.",38.3558423229886,-120.780580617462,Amador County
7,-121.847472,39.754575,8,"Aegis Treatment Centers, LLC", 04-02 ,,297M,"582, 584, 586, 588 & 590 Rio Lindo Ave",Chico,CA,95926,(530) 345-3491,625,5am - 3:30pm,5:00am - 1:00pm,6:00am - 9:30am,6:00am - 9:30am,Esperanza Hernandez,"Michael Waring, M.D.",39.754575,-121.847472,Butte County
8,-121.8037275,37.98441,9,"Addiction Research and Treatment, Inc.", 07-07 ,BAART Programs Antioch,138M,"3707 and 3711 Sunset Lane, Suites A & B",Antioch,CA,94509,(925) 522-0124,1000,5:30am - 2:30pm,5:30am - 1:30pm,7:00am - 10:30am,7:00am - 10:30am,Ulrika Williams,"William Quismoro, M.D.",37.984372951988,-121.804198982054,Contra Costa County
9,-121.803822,37.984536,10,"BAART Behavioral Health Services, Inc.", 07-07D ,BAART Programs Antioch,245M,3707 Sunset Lane,Antioch,CA,94509,(925) 522-0124,20,5:30am - 2:30pm,5:30am - 1:30pm,7:00am - 10:30am,7:00am - 10:30am,Ulrika Williams,"William Quismoro, M.D.",37.9845055736915,-121.80420890865,Contra Costa County
10,-122.3565435,37.9254510000001,11,"Addiction Research and Treatment, Inc.", 07-08 ,BAART Program Richmond,095M,1301 and 1313 Cutting Boulevard,Richmond,CA,94804,(510) 232-0874,500,6am - 2pm,6:00am - 1:00pm,6:45am - 10:45am,7:00am - 10:00am,Ulrika Williams,"Kyle Moore, M.D.",37.9252405304113,-122.3565435,Contra Costa County
11,-122.278979236,37.853660162,12,Berkeley Addiction Treatment Services, 01-90 ,,093M,2975 Sacramento Street,Berkeley,CA,94702,(510) 644-0200,255,5:30am - 12:45pm,5:30am - 10:30am ,5:30am - 9:00am,5:30am - 9:00am,Matonia Williams,"Frank Staggers, M.D.",37.8536601623499,-122.278979235827,Alameda County
12,-122.3565435,37.9254510000001,13,"BAART Behavioral Health Services, Inc.", 07-08D ,BAART Program Richmond,244M,1301 and 1313 Cutting Boulevard,Richmond,CA,94804,(510) 232-0874,20,6am - 2pm,6:00am - 1:00pm,6:45am - 10:45am,7:00am - 10:00am,Ulrika Williams,"Kyle Moore, M.D.",37.9252405304113,-122.3565435,Contra Costa County
13,-122.2874865,37.804203,14,The West Oakland Health Council, 01-60 ,,111M,"700 Adeline Street, Suites 270 & 290",Oakland,CA,94607,(510) 302-3741,110,7:30am - 4:30pm,7:45 am - 11:45 am,7:30am - 11:30am,7:45am - 9:45am,"Nicole Sudduth, LCSW","Michael Rosenfield, D.O.",37.804203,-122.2874865,Alameda County
14,-122.1497235,37.74159,15,"Humanistic Alternatives to Addiction Research and Treatment, Inc.", 01-70 ,,038M,"10850 MacArthur Boulevard, Suite 200",Oakland,CA,94605,(510) 875-2300,500,6:00am - 2:00pm,6:00am - 8:00am; 9:00am - 12:00pm ,7:30am - 10:00am,7:30am - 10:00am,Michelle Burch,"Martin Mennen, M.D.",37.7414169975185,-122.149802792804,Alameda County
15,-122.042665552,37.9898414720001,16,"Addiction Research and Treatment, Inc.", 07-10,BAART Programs Concord,412M,2158 Solano Way,Concord,CA,94520,(925) 690-5710,300,5:30am - 2:00pm,5:30am - 1:00pm,7:00am - 10:00am,7:00am - 10:00am,Nadine Robbins-Laurent,"William Quismoro, M.D.",37.9898414723358,-122.042665551518,Contra Costa County
16,-119.7993825,36.732429,17,"Addiction Research and Treatment, Inc.", 10-02 ,BAART Programs E Street,141M,1235 E Street,Fresno,CA,93706,(559) 268-6261,700,5:30am - 1:30 pm,5:30am - 11am; Th 5:30am-1pm,6:00am - 9:00am,6:00am - 9:00am,Fauna Acker,"Laurene Spencer, M.D.",36.7326303333142,-119.799194158636,Fresno County
17,-119.7993825,36.732429,18,"BAART Behavioral Health Services, Inc.", 10-02D ,BAART BBHS Programs E Street,216M,1235 E Street,Fresno,CA,93706,(559) 268-6261,25,5:30am - 1:30 pm,5:30am - 11am; Th 5:30am-11am; 12pm - 1pm,6:00am - 9:00am,6:00am - 9:00am,Fauna Acker,"Laurene Spencer, M.D.",36.7326303333142,-119.799194158636,Fresno County
18,-119.799306,36.7511940000001,19,"Addiction Research and Treatment, Inc.", 10-01 ,BAART Programs Van Ness,005M,539 North Van Ness Avenue,Fresno,CA,93728,(559) 266-9581,700,6am - 2pm,6:00am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Sara Castillo,"Farhad Mahjouri, M.D.",36.751194,-119.798928479081,Fresno County
19,-119.799306,36.7511940000001,20,"BAART Behavioral Health Services, Inc.", 10-01D ,BAART Programs Van Ness,218M,539 North Van Ness Avenue,Fresno,CA,93728,(559) 266-9581,20,6am - 2pm,6:00am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Sara Castillo,"Farhad Mahjouri, M.D.",36.751194,-119.798928479081,Fresno County
20,-119.734416,36.6759900000001,21,"Addiction Research and Treatment, Inc.", 10-04 ,BAART Programs Cartwright,307M,3103 East Cartwright Avenue,Fresno,CA,93725,(559) 498-7100,225,5:00am - 1:00pm,5:00am - 9:30am; 10:30am - 12:30 pm,6:00am - 9:00am; Closed Sunday,6:00am - 9:00am; Closed Sunday,Jennifer Amity Berool,"Laurene Spencer, M.D.",36.6761619966531,-119.734477858445,Fresno County
21,-119.790288,36.739557,22,"MedMark Treatment Centers - Fresno West, Inc.", 10-06 ,MedMark Treatment Centers Fresno,362M,1310 M Street,Fresno,CA,93721,(559) 264-2700,630,5:00am - 1:30pm,5:00am - 1:00pm,6:00am - 10:00am,6:00am - 10:00am,Bee Vue,"Gilbert Greene, D.O.",36.7392842528707,-119.790539373276,Fresno County
22,-119.763189,36.7798770000001,23,"Aegis Treatment Centers, LLC", 10-07 ,,223M,3707  E. Shields Avenue,Fresno,CA,93726,(559) 229-9040,560,5:00am - 6:30pm,5:00am-9:00am; 10:00am-1:00pm; 2:00-5:30pm,Sat 6:00am - 2:30pm; Sun 6:00am - 10:00am,Sat 6:00am - 1:30pm; Sun 6:00am - 10:00am,Tiffany Martinez,"Marc Lasher, M.D.",36.779689496826,-119.763189,Fresno County
23,-119.734416,36.6759900000001,24,"BAART Behavioral Health Services, Inc.", 10-04D ,BAART Programs Cartwright,308M,3103 East Cartwright Avenue,Fresno,CA,93725,(559) 498-7100,10,5:00am - 1:00pm,5:00am - 9:30am; 10:30am - 12:30 pm,6:00am - 9:00am; Closed Sunday,6:00am - 9:00am; Closed Sunday,Jennifer Amity Berool,"Laurene Spencer, M.D.",36.6761619966531,-119.734477858445,Fresno County
24,-124.148979,40.80744,25,"Aegis Treatment Centers, LLC", 12-01 ,,409M,2107 1st Street,Eureka,CA,95501,(707)273-6398,350,6:00am - 2:30pm,6:00am - 10am;11:00am - 1:30pm,7:00am - 10:00am,7:00am - 10:00am,Sarah Vogel,"Nancy Brockington, M.D.",40.8071774787926,-124.148979,Humboldt County
25,-115.502209102,32.6702113330001,26,"Imperial Valley Medical Clinic, Inc.", 13-02 ,,140M,535 West Cesar Chavez Boulevard,Calexico,CA,92231,(760) 357-6566,120,6:00am - 3:00pm,6:00am - 11:00am,Closed,6:00am - 9:00am; Closed Sunday,"Norma M. Apodaca, MSW","Lucian Oprea, M.D.",32.6702113329882,-115.502209102083,Imperial County
26,-122.040864,37.916928,27,Harmonic Solutions, 07-09,,410M,"1776 Ygnacio Valley Road, #206",Walnut Creek,CA,94598,(925) 278-1792,150,5am - 11am; Th 12-2pm,5:00am - 11:00am,6:00am - 8:00am,6:00am - 8:00am,Jodi Klopf,"Kulraj Sidhu, M.D.",37.9165167838303,-122.040377681978,Contra Costa County
27,-119.244440965,35.7695275620001,28,"Aegis Treatment Centers, LLC", 15-06 ,,303M,1019 Jefferson Street,Delano,CA,93215,(661) 721-0463,120,5:30am - 2:00pm,5:30am-9:30am; 10:30am-1:00pm,8:00am - 9:00am; Closed Sunday,8:00am - 9:00am; Closed Sunday,Graciela Salazar,"Howard Morley, M.D.",35.7695275622119,-119.244440965483,Kern County
28,-119.013246,35.3783070000001,29,"Aegis Treatment Centers, LLC", 15-05 ,,272M,1018 21st Street,Bakersfield,CA,93301,(661) 861-9967,750,5:00am - 3:00pm,5:00am - 2:30pm,6:00am - 10:00am; 11:00am - 2:30pm,6:00am - 10:00am; 11:00am - 1:30pm,Laura Love,"George Girgis, M.D.",35.3781343327946,-119.013247424924,Kern County
