,fips,name,state,fip_clean,county
192,6001,Alameda County,CA,001,001
193,6003,Alpine County,CA,003,003
194,6005,Amador County,CA,005,005
195,6007,Butte County,CA,007,007
196,6009,Calaveras County,CA,009,009
197,6011,Colusa County,CA,011,011
198,6013,Contra Costa County,CA,013,013
199,6015,Del Norte County,CA,015,015
200,6017,El Dorado County,CA,017,017
201,6019,Fresno County,CA,019,019
202,6021,Glenn County,CA,021,021
203,6023,Humboldt County,CA,023,023
204,6025,Imperial County,CA,025,025
205,6027,Inyo County,CA,027,027
206,6029,Kern County,CA,029,029
207,6031,Kings County,CA,031,031
208,6033,Lake County,CA,033,033
209,6035,Lassen County,CA,035,035
210,6037,Los Angeles County,CA,037,037
211,6039,Madera County,CA,039,039
212,6041,Marin County,CA,041,041
213,6043,Mariposa County,CA,043,043
214,6045,Mendocino County,CA,045,045
215,6047,Merced County,CA,047,047
216,6049,Modoc County,CA,049,049
217,6051,Mono County,CA,051,051
218,6053,Monterey County,CA,053,053
219,6055,Napa County,CA,055,055
220,6057,Nevada County,CA,057,057
221,6059,Orange County,CA,059,059
222,6061,Placer County,CA,061,061
223,6063,Plumas County,CA,063,063
224,6065,Riverside County,CA,065,065
225,6067,Sacramento County,CA,067,067
226,6069,San Benito County,CA,069,069
227,6071,San Bernardino County,CA,071,071
228,6073,San Diego County,CA,073,073
229,6075,San Francisco County,CA,075,075
230,6077,San Joaquin County,CA,077,077
231,6079,San Luis Obispo County,CA,079,079
232,6081,San Mateo County,CA,081,081
233,6083,Santa Barbara County,CA,083,083
234,6085,Santa Clara County,CA,085,085
235,6087,Santa Cruz County,CA,087,087
236,6089,Shasta County,CA,089,089
237,6091,Sierra County,CA,091,091
238,6093,Siskiyou County,CA,093,093
239,6095,Solano County,CA,095,095
240,6097,Sonoma County,CA,097,097
241,6099,Stanislaus County,CA,099,099
242,6101,Sutter County,CA,101,101
243,6103,Tehama County,CA,103,103
244,6105,Trinity County,CA,105,105
245,6107,Tulare County,CA,107,107
246,6109,Tuolumne County,CA,109,109
247,6111,Ventura County,CA,111,111
248,6113,Yolo County,CA,113,113
249,6115,Yuba County,CA,115,115
