,X,Y,OBJECTID,LICENSEE,LICENSE_NUM,DBA,OTP_CA10,ADDRESS,CITY,STATE,PROGRAM_ZIP,PHONE_NUMBER,CAPACITY,OPERATING_HOURS,DISPENSING_HOURS,WEEKEND_HOURS,WEEKEND_DISPENSING_HOURS,PROGRAM_DIRECTOR,MEDICAL_DIRECTOR,LATITUDE,LONGITUDE,COUNTYNAME
0,-121.8841515,37.716219,1,"California Forensic Medical Group, Inc ", 01-100 ,,249M,5325 Broder Boulevard,Dublin,CA,94568,(925) 551-6700,120,7:00am - 4am,1:00am - 7:30am ,1:00am - 7:30am,1:00am - 7:30am,Lisa Goodspeed,"Kelly-Ann Kelly, M.D.",37.71592647,-121.8841513,Alameda County
1,-122.102244,37.687185,2,"Humanistic Alternatives to Addiction Research and Treatment, Inc.", 01-94 ,,309M,20094 Mission Boulevard,Hayward,CA,94541,(510) 727-9755,400,5:30am - 2:00pm,6:00am - 9:00am; 10:00 - 12:00pm ,7:00am - 10:00am,7:30am - 9:30am,"Christopher Sobky, MFT","Mikael Martinez, M.D.",37.687185,-122.102244,Alameda County
2,-122.248314,37.79118,3,"Addiction Research and Treatment, Inc.", 01-96 ,BAART Programs Oakland,186M,1124 International Boulevard,Oakland,CA,94606,(510) 533-0800,650,6:00am - 2:00pm,6:00am - 1:00pm; Thurs 6:00am - 12:00pm,6:45am - 10:45am,7:00am - 10:30am,Lisa Fitzpatrick,"Ian Johnson, M.D.",37.79102183,-122.2484548,Alameda County
3,-122.248314,37.79118,4,"BAART Behavioral Health Services, Inc.", 01-97 ,BAART Programs Oakland,186M,1124 International Boulevard,Oakland,CA,94606,(510) 533-0800,50,6am - 2pm,6:00am - 1:00pm; Thurs 6:00am - 12:00pm,6:45am - 10:45am,7:00am - 10:30am,Lisa Fitzpatrick,"Ian Johnson, M.D.",37.79102183,-122.2484548,Alameda County
4,-122.080329,37.665423,5,"Successful Alternatives For Addiction & Counseling Services, Inc.", 01-98 ,MedMark Treatment Centers - Hayward,304M,795 Fletcher Lane,Hayward,CA,94544,(510) 247-8300,365,5am - 1:30pm,5:00am - 1:00pm,8:00am - 10:30am,8:00am - 10:30am,Serena Urive,"Gilbert Greene, D.O.",37.6655209,-122.0804947,Alameda County
5,-122.167134,37.739286,6,"Lifeline Treatment Services, Inc.", 01-99 ,,354M,10429 International Boulevard,Oakland,CA,94603,(510) 777-8448,375,6am - 2:30pm (Lunch 10-10:30am),6:00am - 10:00am; 10:30am - 1:30pm,8:00am - 11:15am,8:00am - 11:15am,Evelyn Nelson,"Michael Yadegari, M.D.",37.739286,-122.167134,Alameda County
6,-120.7805806,38.35584232,7,"Gold Country Health Initiative, LLC", 03-01,,403M,820 & 830 State Highway 88,Jackson,CA,95642,(209) 257-1501,100,7:00am - 3:30pm (Lunch 11am-11:30am),7:15am - 11:00; 11:30am - 3:30pm,Closed Saturday & Sunday,Closed Saturday & Sunday,Mary Anne Laramee,"Ernest J. Vasti, M.D.",38.35584232,-120.7805806,Amador County
7,-121.847472,39.754575,8,"Aegis Treatment Centers, LLC", 04-02 ,,297M,"582, 584, 586, 588 & 590 Rio Lindo Ave",Chico,CA,95926,(530) 345-3491,625,5am - 3:30pm,5:00am - 1:00pm,6:00am - 9:30am,6:00am - 9:30am,Esperanza Hernandez,"Michael Waring, M.D.",39.754575,-121.847472,Butte County
8,-121.8037275,37.98441,9,"Addiction Research and Treatment, Inc.", 07-07 ,BAART Programs Antioch,138M,"3707 and 3711 Sunset Lane, Suites A & B",Antioch,CA,94509,(925) 522-0124,1000,5:30am - 2:30pm,5:30am - 1:30pm,7:00am - 10:30am,7:00am - 10:30am,Ulrika Williams,"William Quismoro, M.D.",37.98437295,-121.804199,Contra Costa County
9,-121.803822,37.984536,10,"BAART Behavioral Health Services, Inc.", 07-07D ,BAART Programs Antioch,245M,3707 Sunset Lane,Antioch,CA,94509,(925) 522-0124,20,5:30am - 2:30pm,5:30am - 1:30pm,7:00am - 10:30am,7:00am - 10:30am,Ulrika Williams,"William Quismoro, M.D.",37.98450557,-121.8042089,Contra Costa County
