,LICENSED_CERTIFIED,FLAG,T18_19,FACID,FAC_STATUS_TYPE_CODE,ASPEN_FACID,CCN,TERMINAT_SW,PARTICIPATION_DATE,APPROVAL_DATE,NPI,CAN_BE_DEEMED_FAC_TYPE,CAN_BE_CERTIFIED_FAC_TYPE,DEEMED,AO_CD,DMG_EFCTV_DT,AO_TRMNTN_DT,AO_NAME,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,PARENT_FACID,FAC_FAC_RELATIONSHIP_TYPE_CODE,START_DATE,LICENSE_NUMBER,BUSINESS_NAME,LICENSE_STATUS_DESCRIPTION,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL,DATA_DATE,primary_care,nursing,pediatric,mental_health
291,LICENSED AND CERTIFIED,USE PARENT MATCH,,30000301,OPEN,CA030000146,050127,,1-Jul-66,13-Aug-19,1922116037,Y,Y,1.0,1.0,4/13/19 0:00,,JC,WOODLAND MEMORIAL HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,31,1325 COTTONWOOD STREET,WOODLAND,95695,5131,,,,(530) 999-9999,670,YOLO,3,SACRAMENTO,N,30000146.0,DISTINCT PART,29-Mar-67,30000115.0,DIGNITY COMMUNITY CARE,ACTIVE,29-Mar-67,30-Nov-21,29-Nov-22,NONPROFIT CORP,38.664036,-121.792122,"(-121.792122,38.664036)",,57,YOLO,6113,,,,,,15-Mar-22,False,False,False,True
292,LICENSED AND CERTIFIED,,,30000320,OPEN,CA030000320,054087,,17-Nov-86,30-Apr-18,1528066685,Y,Y,1.0,1.0,5/28/16 0:00,,JC,"SIERRA VISTA HOSPITAL, INC.",APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,171,8001 BRUCEVILLE ROAD,SACRAMENTO,95823,2329,"ZAUNER, JOHN (MIKE) M",TAMI.BROOKS@UHSINC.COM,(916) 689-5517,(916) 288-0325,440,SACRAMENTO,3,SACRAMENTO,Y,,PARENT,,30000290.0,"BHC SIERRA VISTA HOSPITAL, INC.",ACTIVE,19-Oct-86,1-Dec-21,30-Nov-22,PROFIT CORP,38.4669,-121.417101,"(-121.417101,38.4669)",106342392.0,34,SACRAMENTO,6067,,,,,,15-Mar-22,False,False,False,True
307,LICENSED AND CERTIFIED,,,30000796,OPEN,CA030000796,054096,,28-Jun-88,7-Oct-20,1952350944,Y,Y,1.0,1.0,2/15/19 0:00,,JC,SUTTER CENTER FOR PSYCHIATRY,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,73,7700 FOLSOM BLVD,SACRAMENTO,95826,2608,"HAILS, ROBERT",MCGUIRA@SUTTERHEALTH.ORG,(916) 386-3050,(916) 386-3000,440,SACRAMENTO,3,SACRAMENTO,Y,,PARENT,,30000347.0,SUTTER VALLEY HOSPITALS,ACTIVE,,31-May-21,30-May-22,NONPROFIT CORP,38.549844,-121.4145135,"(-121.4145135,38.549844)",106344017.0,34,SACRAMENTO,6067,,,,,,15-Mar-22,False,False,False,True
310,LICENSED AND CERTIFIED,,,30000822,OPEN,CA030000822,054104,,13-Jan-89,26-Jun-19,1083709653,Y,Y,1.0,1.0,2/22/19 0:00,,JC,HERITAGE OAKS HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,125,4250 AUBURN BOULEVARD,SACRAMENTO,95841,4100,"ZAUNER, JOHN (MIKE) M",DANIEL.SAUVE@UHSINC.COM,(916) 488-2954,(916) 480-5106,440,SACRAMENTO,3,SACRAMENTO,Y,,PARENT,,30000357.0,"BHC HERITAGE OAKS HOSPITAL, INC.",ACTIVE,16-Dec-88,1-Dec-21,30-Nov-22,PROFIT CORP,38.64285,-121.364946,"(-121.364946,38.64285)",106344021.0,34,SACRAMENTO,6067,,,,,,15-Mar-22,False,False,False,True
314,LICENSED AND CERTIFIED,,,30000862,OPEN,CA030000862,054123,,4-Oct-90,16-Nov-16,1053443473,Y,Y,1.0,1.0,3/27/19 0:00,,JC,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,35,2510 N. CALIFORNIA STREET,STOCKTON,95204,5502,"RAINS, PAUL",PAUL.RAINS@DIGNITYHEALTH.ORG,(209) 464-2270,(209) 461-2020,490,SAN JOAQUIN,3,SACRAMENTO,Y,,PARENT,,30000367.0,"PORT CITY OPERATING COMPANY, LLC",ACTIVE,2-Jan-90,6-Sep-21,5-Sep-22,LIMITED LIABILITY COMPANY,37.976724,-121.291065,"(-121.291065,37.976724)",106392232.0,39,SAN JOAQUIN,6077,,,,,,15-Mar-22,False,False,False,True
363,LICENSED ONLY,,,30001568,OPEN,CA03001568,,,,,,Y,Y,0.0,,,,,DOCTORS MEDICAL CENTER - BEHAVIORAL HEALTH DEPARTMENT,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,67,1501 CLAUS RD,MODESTO,95355,9711,"DICICCO, CHRIS",,,(209) 557-6360,600,STANISLAUS,4,FRESNO,Y,30000122.0,CONSOLIDATED,24-Feb-05,30000026.0,"DOCTORS MEDICAL CENTER OF MODESTO, INC.",ACTIVE,11-Jul-62,1-Jun-21,31-May-22,PROFIT CORP,37.665423,-120.922056,"(-120.922056,37.665423)",106501016.0,50,STANISLAUS,6099,,,,,,15-Mar-22,False,False,False,True
488,LICENSED ONLY,,,40000252,OPEN,CA040000252,,,,,,N,N,,,,,,ALLIANT INTERNATIONAL UNIVERSITY,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,5130 E CLINTON WAY,FRESNO,93727,2014,"WHITE, DALE S",DWHITE@ALLIANT.EDU,(559) 253-2298,(559) 253-2277,90,FRESNO,4,FRESNO,Y,,PARENT,,40000237.0,CALIFORNIA SCHOOL OF PROFESSIONAL PSYCHOLOGY,ACTIVE,20-Nov-86,19-Nov-19,18-Nov-20,NONPROFIT CORP,36.766098,-119.7202725,"(-119.7202725,36.766098)",306104002.0,10,FRESNO,6019,,,,,,15-Mar-22,False,False,False,True
490,LICENSED ONLY,,,40000259,OPEN,CA04000259,,,,,,Y,Y,,,,,,COMMUNITY BEHAVIORAL HEALTH CENTER,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,73,7171 N CEDAR AVE,FRESNO,93720,3311,"POLUNAS, DAVID",,,(559) 449-4417,90,FRESNO,4,FRESNO,Y,40000101.0,CONSOLIDATED,24-Feb-05,40000096.0,FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER,ACTIVE,,13-Dec-21,6-Nov-22,NONPROFIT CORP,36.84042,-119.758023,"(-119.758023,36.84042)",106104008.0,10,FRESNO,6019,,,,,,15-Mar-22,False,False,False,True
674,LICENSED AND CERTIFIED,,,50000041,OPEN,CA050000041,054077,,21-Mar-85,9-Jan-19,1902863418,Y,Y,1.0,1.0,11/10/17 0:00,,JC,AURORA VISTA DEL MAR HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,87,801 SENECA ST,VENTURA,93001,1411,"POWELL, DANIEL",DAN.POWELL@AURORABEHAVORIAL.COM,(805) 652-0086,(805) 653-6434,660,VENTURA,5,VENTURA,Y,,PARENT,,50000016.0,AURORA VISTA DEL MAR LLC,ACTIVE,27-Feb-85,22-Mar-21,21-Mar-22,LIMITED LIABILITY COMPANY,34.307703,-119.2836645,"(-119.2836645,34.307703)",106560203.0,56,VENTURA,6111,,,,,,15-Mar-22,False,False,False,True
729,LICENSED ONLY,,,50000192,OPEN,CA050000192,,,,,,Y,Y,0.0,,,,,VENTURA COUNTY MEDICAL CENTER INPATIENT D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,43,200 HILLMONT AVE,VENTURA,93003,1647,"MILSTIEN, KIM",,,(805) 652-6100,660,VENTURA,5,VENTURA,N,50000039.0,DISTINCT PART,1-Jul-53,50000032.0,COUNTY OF VENTURA,ACTIVE,1-Jul-53,1-Mar-21,28-Feb-22,COUNTY,34.276518,-119.253348,"(-119.253348,34.276518)",,56,VENTURA,6111,,,,,,15-Mar-22,False,False,False,True
