Column,facility_name,facility_type,facility_clean,address,city,county,state,zip,capacity,latitude,longitude,phone_number,other_details,full_address
0,"California Forensic Medical Group, Inc ",NARCOTICS,NARCOTICS,5325 Broder Boulevard,Dublin,ALAMEDA,CA,94568,120,37.71592647,-121.8841513,(925) 551-6700,,"5325 Broder Boulevard, Dublin, ALAMEDA COUNTY, CA, 94568"
1,"Humanistic Alternatives to Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,20094 Mission Boulevard,Hayward,ALAMEDA,CA,94541,400,37.687185,-122.102244,(510) 727-9755,,"20094 Mission Boulevard, Hayward, ALAMEDA COUNTY, CA, 94541"
2,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,1124 International Boulevard,Oakland,ALAMEDA,CA,94606,650,37.79102183,-122.2484548,(510) 533-0800,,"1124 International Boulevard, Oakland, ALAMEDA COUNTY, CA, 94606"
3,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,1124 International Boulevard,Oakland,ALAMEDA,CA,94606,50,37.79102183,-122.2484548,(510) 533-0800,,"1124 International Boulevard, Oakland, ALAMEDA COUNTY, CA, 94606"
4,"Successful Alternatives For Addiction & Counseling Services, Inc.",NARCOTICS,NARCOTICS,795 Fletcher Lane,Hayward,ALAMEDA,CA,94544,365,37.6655209,-122.0804947,(510) 247-8300,,"795 Fletcher Lane, Hayward, ALAMEDA COUNTY, CA, 94544"
5,"Lifeline Treatment Services, Inc.",NARCOTICS,NARCOTICS,10429 International Boulevard,Oakland,ALAMEDA,CA,94603,375,37.739286,-122.167134,(510) 777-8448,,"10429 International Boulevard, Oakland, ALAMEDA COUNTY, CA, 94603"
6,"Gold Country Health Initiative, LLC",NARCOTICS,NARCOTICS,820 & 830 State Highway 88,Jackson,AMADOR,CA,95642,100,38.35584232,-120.7805806,(209) 257-1501,,"820 & 830 State Highway 88, Jackson, AMADOR COUNTY, CA, 95642"
7,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,"582, 584, 586, 588 & 590 Rio Lindo Ave",Chico,BUTTE,CA,95926,625,39.754575,-121.847472,(530) 345-3491,,"582, 584, 586, 588 & 590 Rio Lindo Ave, Chico, BUTTE COUNTY, CA, 95926"
8,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,"3707 and 3711 Sunset Lane, Suites A & B",Antioch,CONTRA COSTA,CA,94509,1000,37.98437295,-121.804199,(925) 522-0124,,"3707 and 3711 Sunset Lane, Suites A & B, Antioch, CONTRA COSTA COUNTY, CA, 94509"
9,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,3707 Sunset Lane,Antioch,CONTRA COSTA,CA,94509,20,37.98450557,-121.8042089,(925) 522-0124,,"3707 Sunset Lane, Antioch, CONTRA COSTA COUNTY, CA, 94509"
10,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,1301 and 1313 Cutting Boulevard,Richmond,CONTRA COSTA,CA,94804,500,37.92524053,-122.3565435,(510) 232-0874,,"1301 and 1313 Cutting Boulevard, Richmond, CONTRA COSTA COUNTY, CA, 94804"
11,Berkeley Addiction Treatment Services,NARCOTICS,NARCOTICS,2975 Sacramento Street,Berkeley,ALAMEDA,CA,94702,255,37.85366016,-122.2789792,(510) 644-0200,,"2975 Sacramento Street, Berkeley, ALAMEDA COUNTY, CA, 94702"
12,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,1301 and 1313 Cutting Boulevard,Richmond,CONTRA COSTA,CA,94804,20,37.92524053,-122.3565435,(510) 232-0874,,"1301 and 1313 Cutting Boulevard, Richmond, CONTRA COSTA COUNTY, CA, 94804"
13,The West Oakland Health Council,NARCOTICS,NARCOTICS,"700 Adeline Street, Suites 270 & 290",Oakland,ALAMEDA,CA,94607,110,37.804203,-122.2874865,(510) 302-3741,,"700 Adeline Street, Suites 270 & 290, Oakland, ALAMEDA COUNTY, CA, 94607"
