facility_name,facility_type,address,city,county,state,zip,capacity,latitude,longitude,phone_number
WOODLAND MEMORIAL HOSPITAL D/P APH,APH,1325 COTTONWOOD STREET,WOODLAND,YOLO,CA,95695,31,38.664036,-121.792122,(530) 999-9999
"SIERRA VISTA HOSPITAL, INC.",APH,8001 BRUCEVILLE ROAD,SACRAMENTO,SACRAMENTO,CA,95823,171,38.4669,-121.417101,(916) 288-0325
SUTTER CENTER FOR PSYCHIATRY,APH,7700 FOLSOM BLVD,SACRAMENTO,SACRAMENTO,CA,95826,73,38.549844,-121.4145135,(916) 386-3000
HERITAGE OAKS HOSPITAL,APH,4250 AUBURN BOULEVARD,SACRAMENTO,SACRAMENTO,CA,95841,125,38.64285,-121.364946,(916) 480-5106
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,APH,2510 N. CALIFORNIA STREET,STOCKTON,SAN JOAQUIN,CA,95204,35,37.976724,-121.291065,(209) 461-2020
DOCTORS MEDICAL CENTER - BEHAVIORAL HEALTH DEPARTMENT,APH,1501 CLAUS RD,MODESTO,STANISLAUS,CA,95355,67,37.665423,-120.922056,(209) 557-6360
ALLIANT INTERNATIONAL UNIVERSITY,PSYCHC,5130 E CLINTON WAY,FRESNO,FRESNO,CA,93727,0,36.766098,-119.7202725,(559) 253-2277
COMMUNITY BEHAVIORAL HEALTH CENTER,APH,7171 N CEDAR AVE,FRESNO,FRESNO,CA,93720,73,36.84042,-119.758023,(559) 449-4417
AURORA VISTA DEL MAR HOSPITAL,APH,801 SENECA ST,VENTURA,VENTURA,CA,93001,87,34.307703,-119.2836645,(805) 653-6434
VENTURA COUNTY MEDICAL CENTER INPATIENT D/P APH,APH,200 HILLMONT AVE,VENTURA,VENTURA,CA,93003,43,34.276518,-119.253348,(805) 652-6100
SANTA BARBARA COTTAGE HOSPITAL - D/P APH,APH,400 W PUEBLO ST,SANTA BARBARA,SANTA BARBARA,CA,93105,20,34.4294868,-119.7231697,(805) 682-7111
NEWPORT BAY HOSPITAL,APH,1501 E 16TH ST,NEWPORT BEACH,ORANGE,CA,92663,36,33.622317,-117.9075015,(949) 395-1813
HUNTINGTON BEACH HOSPITAL D/P APH,APH,17772 BEACH BLVD,HUNTINGTON BEACH,ORANGE,CA,92647,49,33.70365,-117.9865305,(714) 842-1473
LOS ANGELES COUNTY OLIVE VIEW-UCLA MED CTR D/P APH,APH,14445 OLIVE VIEW DR,SYLMAR,LOS ANGELES,CA,91342,52,34.326981,-118.4517,(818) 364-1555
ANAHEIM GLOBAL MEDICAL CENTER D/P APH,APH,1025 S ANAHEIM BLVD,ANAHEIM,ORANGE,CA,92805,90,33.819876,-117.909414,(714) 533-6220
ST. JOSEPH HOSPITAL D/P APH,APH,1100 W STEWART DR,ORANGE,ORANGE,CA,92868,37,33.782121,-117.864936,(714) 633-9111
MISSION HOSPITAL LAGUNA BEACH D/P APH,APH,31872 COAST HWY,LAGUNA BEACH,ORANGE,CA,92651,36,33.500637,-117.74079,(949) 499-1311
LAC/HARBOR-UCLA MEDICAL CENTER D/P APH,APH,1000 W CARSON ST,TORRANCE,LOS ANGELES,CA,90502,38,33.829794,-118.294722,(310) 222-2345
LAC+USC MEDICAL CENTER D/P APH,APH,1200 N STATE ST,LOS ANGELES,LOS ANGELES,CA,90033,76,34.059654,-118.208178,(323) 226-6853
COLLEGE HOSPITAL COSTA MESA D/P APH,APH,301 VICTORIA ST,COSTA MESA,ORANGE,CA,92627,99,33.651855,-117.91206,(949) 642-2734
LA PALMA INTERCOMMUNITY HOSPITAL D/P APH,APH,7901 WALKER ST,LA PALMA,ORANGE,CA,90623,23,33.847524,-118.038312,(714) 670-7400
ORANGE COUNTY GLOBAL MEDICAL CENTER  D/P APH,APH,1001 N TUSTIN AVE,SANTA ANA,ORANGE,CA,92705,28,33.754131,-117.8329005,
"SOUTH COAST GLOBAL MEDICAL CENTER, INC. D/P APH",APH,2701 S BRISTOL ST,SANTA ANA,ORANGE,CA,92704,23,33.711084,-117.884268,(714) 754-5454
WEST ANAHEIM MEDICAL CENTER D/P APH,APH,3033 W ORANGE AVE,ANAHEIM,ORANGE,CA,92804,30,33.825456,-117.9948825,(714) 827-3000
CHAPMAN GLOBAL MEDICAL CENTER D/P APH,APH,2601 E CHAPMAN AVE,ORANGE,ORANGE,CA,92869,12,33.788511,-117.826335,(714) 633-0011
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA D/P A,APH,23625 W.R. HOLMAN HWY,MONTEREY,MONTEREY,CA,93940,18,36.57916153,-121.9152286,(831) 624-5311
SANTA CLARA VALLEY MEDICAL CENTER DP/APH,APH,751 S BASCOM AVE,SAN JOSE,SANTA CLARA,CA,95128,50,37.313424,-121.9342095,(408) 885-5000
NATIVIDAD MEDICAL CENTER D/P APH,APH,1441 CONSTITUTION BLVD,SALINAS,MONTEREY,CA,93906,22,36.697248,-121.6340235,(831) 755-4111
INDIAN HEALTH CENTER OF SANTA CLARA VALLEY,PSYCHC,602 E SANTA CLARA ST,SAN JOSE,SANTA CLARA,CA,95112,0,37.342026,-121.877703,(408) 445-8172
EL CAMINO HOSPITAL D/P APH,APH,2590 GRANT RD,MOUNTAIN VIEW,SANTA CLARA,CA,94040,36,37.36745551,-122.0779241,(650) 940-7000
STANFORD HOSPITAL D/P APH,APH,300 PASTEUR DR,STANFORD,SANTA CLARA,CA,94305,30,37.4330948,-122.1758822,(650) 723-4000
MISSION OAKS HOSPITAL - D/P APH,APH,15891 LOS GATOS ALMADEN RD,LOS GATOS,SANTA CLARA,CA,95032,21,37.244772,-121.948011,(408) 559-2011
ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTEM,APH,7050 PARKWAY DR,LA MESA,SAN DIEGO,CA,91942,66,32.774481,-117.0440325,(619) 465-4411
TRI-CITY MEDICAL CENTER D/P APH,APH,4002 VISTA WAY,OCEANSIDE,SAN DIEGO,CA,92056,18,33.184332,-117.291807,(760) 724-8411
AURORA SAN DIEGO,APH,11878 AVENUE OF INDUSTRY,SAN DIEGO,SAN DIEGO,CA,92128,101,32.991372,-117.0749475,(858) 487-3200
PALOMAR MEDICAL CENTER POWAY D/P APH,APH,15615 POMERADO RD,POWAY,SAN DIEGO,CA,92064,12,32.996565,-117.0566505,(858) 485-6511
GROSSMONT HOSPITAL D/P APH,APH,5555 GROSSMONT CENTER DR,LA MESA,SAN DIEGO,CA,91942,46,32.781438,-117.00702,(619) 465-0711
SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,APH,3853 ROSECRANS ST,SAN DIEGO,SAN DIEGO,CA,92110,109,32.753683,-117.202604,(619) 692-8232
