facility_name,facility_type,address,city,county,state,zip,capacity,latitude,longitude,phone_number
"California Forensic Medical Group, Inc ",narcotics,5325 Broder Boulevard,Dublin,Alameda County,CA,94568,120,37.71592647,-121.8841513,(925) 551-6700
"Humanistic Alternatives to Addiction Research and Treatment, Inc.",narcotics,20094 Mission Boulevard,Hayward,Alameda County,CA,94541,400,37.687185,-122.102244,(510) 727-9755
"Addiction Research and Treatment, Inc.",narcotics,1124 International Boulevard,Oakland,Alameda County,CA,94606,650,37.79102183,-122.2484548,(510) 533-0800
"BAART Behavioral Health Services, Inc.",narcotics,1124 International Boulevard,Oakland,Alameda County,CA,94606,50,37.79102183,-122.2484548,(510) 533-0800
"Successful Alternatives For Addiction & Counseling Services, Inc.",narcotics,795 Fletcher Lane,Hayward,Alameda County,CA,94544,365,37.6655209,-122.0804947,(510) 247-8300
"Lifeline Treatment Services, Inc.",narcotics,10429 International Boulevard,Oakland,Alameda County,CA,94603,375,37.739286,-122.167134,(510) 777-8448
"Gold Country Health Initiative, LLC",narcotics,820 & 830 State Highway 88,Jackson,Amador County,CA,95642,100,38.35584232,-120.7805806,(209) 257-1501
"Aegis Treatment Centers, LLC",narcotics,"582, 584, 586, 588 & 590 Rio Lindo Ave",Chico,Butte County,CA,95926,625,39.754575,-121.847472,(530) 345-3491
"Addiction Research and Treatment, Inc.",narcotics,"3707 and 3711 Sunset Lane, Suites A & B",Antioch,Contra Costa County,CA,94509,1000,37.98437295,-121.804199,(925) 522-0124
"BAART Behavioral Health Services, Inc.",narcotics,3707 Sunset Lane,Antioch,Contra Costa County,CA,94509,20,37.98450557,-121.8042089,(925) 522-0124
"Addiction Research and Treatment, Inc.",narcotics,1301 and 1313 Cutting Boulevard,Richmond,Contra Costa County,CA,94804,500,37.92524053,-122.3565435,(510) 232-0874
Berkeley Addiction Treatment Services,narcotics,2975 Sacramento Street,Berkeley,Alameda County,CA,94702,255,37.85366016,-122.2789792,(510) 644-0200
"BAART Behavioral Health Services, Inc.",narcotics,1301 and 1313 Cutting Boulevard,Richmond,Contra Costa County,CA,94804,20,37.92524053,-122.3565435,(510) 232-0874
The West Oakland Health Council,narcotics,"700 Adeline Street, Suites 270 & 290",Oakland,Alameda County,CA,94607,110,37.804203,-122.2874865,(510) 302-3741
"Humanistic Alternatives to Addiction Research and Treatment, Inc.",narcotics,"10850 MacArthur Boulevard, Suite 200",Oakland,Alameda County,CA,94605,500,37.741417,-122.1498028,(510) 875-2300
"Addiction Research and Treatment, Inc.",narcotics,2158 Solano Way,Concord,Contra Costa County,CA,94520,300,37.98984147,-122.0426656,(925) 690-5710
"Addiction Research and Treatment, Inc.",narcotics,1235 E Street,Fresno,Fresno County,CA,93706,700,36.73263033,-119.7991942,(559) 268-6261
"BAART Behavioral Health Services, Inc.",narcotics,1235 E Street,Fresno,Fresno County,CA,93706,25,36.73263033,-119.7991942,(559) 268-6261
"Addiction Research and Treatment, Inc.",narcotics,539 North Van Ness Avenue,Fresno,Fresno County,CA,93728,700,36.751194,-119.7989285,(559) 266-9581
"BAART Behavioral Health Services, Inc.",narcotics,539 North Van Ness Avenue,Fresno,Fresno County,CA,93728,20,36.751194,-119.7989285,(559) 266-9581
"Addiction Research and Treatment, Inc.",narcotics,3103 East Cartwright Avenue,Fresno,Fresno County,CA,93725,225,36.676162,-119.7344779,(559) 498-7100
"MedMark Treatment Centers - Fresno West, Inc.",narcotics,1310 M Street,Fresno,Fresno County,CA,93721,630,36.73928425,-119.7905394,(559) 264-2700
"Aegis Treatment Centers, LLC",narcotics,3707  E. Shields Avenue,Fresno,Fresno County,CA,93726,560,36.7796895,-119.763189,(559) 229-9040
"BAART Behavioral Health Services, Inc.",narcotics,3103 East Cartwright Avenue,Fresno,Fresno County,CA,93725,10,36.676162,-119.7344779,(559) 498-7100
"Aegis Treatment Centers, LLC",narcotics,2107 1st Street,Eureka,Humboldt County,CA,95501,350,40.80717748,-124.148979,(707)273-6398
"Imperial Valley Medical Clinic, Inc.",narcotics,535 West Cesar Chavez Boulevard,Calexico,Imperial County,CA,92231,120,32.67021133,-115.5022091,(760) 357-6566
Harmonic Solutions,narcotics,"1776 Ygnacio Valley Road, #206",Walnut Creek,Contra Costa County,CA,94598,150,37.91651678,-122.0403777,(925) 278-1792
"Aegis Treatment Centers, LLC",narcotics,1019 Jefferson Street,Delano,Kern County,CA,93215,120,35.76952756,-119.244441,(661) 721-0463
"Aegis Treatment Centers, LLC",narcotics,1018 21st Street,Bakersfield,Kern County,CA,93301,750,35.37813433,-119.0132474,(661) 861-9967
"Imperial Valley Medical Clinic, Inc.",narcotics,200 South 5th Street,El Centro,Imperial County,CA,92243,380,32.791491,-115.5547532,(760) 482-0864
"Aegis Treatment Centers, LLC",narcotics,501 W. Columbus Street and 4050 San Dimas Street,Bakersfield,Kern County,CA,93301,475,35.397783,-119.0080215,(661) 328-0245
American Health Services LLC,narcotics,1010 1/2 South Union Avenue,Bakersfield,Kern County,CA,93307,500,35.34385208,-119.0028897,(661) 321-0234
Western Pacific Med-Corp.,narcotics,"4544 San Fernando Road,  Suite 201",Glendale,Los Angeles County,CA,91204,325,34.13473459,-118.2630751,(818) 240-8843
"Aegis Treatment Centers, LLC - Medication Unit",narcotics,"1111 West Inyokern Road, Suite B",Ridgecrest,Kern County,CA,93555,75,35.65169051,-117.6928823,(760)301-6945
Western Health Community Clinics,narcotics,1647 West Anaheim Street,Harbor City,Los Angeles County,CA,90710,110,33.77869356,-118.2872087,(310) 534-5590
West County Medical Clinic,narcotics,100 East Market Street,Long Beach,Los Angeles County,CA,90805,300,33.85423201,-118.1936505,(562) 428-4222
"Narcotics Prevention Association, Inc.",narcotics,"942 South Atlantic Boulevard, Suite 100",Los Angeles,Los Angeles County,CA,90022,450,34.01924601,-118.157619,(323) 263-9700
El Dorado Community Service Center,narcotics,4450 West Century Boulevard,Inglewood,Los Angeles County,CA,90304,175,33.945156,-118.3540005,(310) 671-0555
"Transcultural Health Development, Inc.",narcotics,117 East Harry Bridges Boulevard,Wilmington,Los Angeles County,CA,90744,300,33.7713518,-118.2609602,(310) 549-8383
Western Pacific Med-Corp.,narcotics,"7232 Canby Avenue, Suite 4, 5, & 6",Reseda,Los Angeles County,CA,91335,375,34.2021273,-118.5347574,(818) 705-5561
Western Pacific Med-Corp.,narcotics,9462 Van Nuys Boulevard,Panorama City,Los Angeles County,CA,91402,325,34.242318,-118.4502035,(818) 891-8555
Tavarua Health Services,narcotics,8207 Whittier Boulevard,Pico Rivera,Los Angeles County,CA,90660,460,34.00671276,-118.0962061,(562) 695-0737
"Addiction Research and Treatment, Inc.",narcotics,15229 East Amar Road,La Puente,Los Angeles County,CA,91744,450,34.03787178,-117.9526192,(626) 855-5090
