facility_name,facility_type,address,city,county,state,zip,capacity,latitude,longitude,other_details,phone_number
"Horizon Services, Incorporated",RES,3837 Telegraph Avenue,OAKLAND,Alameda County,CA,94609,7,37.8271578,-122.2650402,Women Only,(510) 450-1190 
Lifelong Medical Care,RES,2545 San Pablo Avenue,OAKLAND,Alameda County,CA,94612,20,37.816263,-122.2754625,Women/Children,(510) 446-7160 
Lifelong Medical Care,NON,2577 San Pablo Avenue,OAKLAND,Alameda County,CA,94612,0,37.81702536,-122.275483,Co-Ed,(510) 446-7180 
"Monroe Operations, Llc",DSS,37455 Palomares Road,CASTRO VALLEY,Alameda County,CA,94552,0,37.60557358,-121.9467335,Women/Children,(714) 310-8461 
"Monroe Operations, Llc",DSS,920 Happy Valley Road,PLEASANTON,Alameda County,CA,94566,0,37.63377191,-121.8735543,Youth/Adolescent,(714) 310-8461 
Bi-Bett,RES,1342 East 27Th Street,OAKLAND,Alameda County,CA,94606,12,37.79771336,-122.2347982,Women/Children,(510) 535-0611 
Carnales Unidos Reformando Adictos Incorporate,RES,37437 Glenmoor Drive,FREMONT,Alameda County,CA,94536,51,37.550259,-122.0128875,Co-Ed,(510) 713-3200 
"The New Bridge Foundation, Inc.",RES-DETOX,1816 Scenic Avenue,BERKELEY,Alameda County,CA,94709,93,37.87560102,-122.2622911,Co-Ed,(510) 548-7270 
"The New Bridge Foundation, Inc.",NON,1777 Le Roy Avenue,BERKELEY,Alameda County,CA,94709,0,37.876563,-122.258232,Co-Ed,(510) 548-7270 
"The New Bridge Foundation, Inc.",NON,2323 Hearst Avenue,BERKELEY,Alameda County,CA,94709,0,37.8747711,-122.26286,Co-Ed,(510) 548-7270 
"The Solidarity Fellowship, Inc.",RES,34401 Blackstone Way,FREMONT,Alameda County,CA,94555,14,37.573011,-122.0422995,Men Only,(510) 796-7120 
"Wistar R And R Program, Inc.",RES,9735 Empire Road,OAKLAND,Alameda County,CA,94603,6,37.73135732,-122.1928141,Men Only,(510) 562-8370 
The Friendship House Association Of American Indians,RES,1818 38Th Avenue,OAKLAND,Alameda County,CA,94601,9,37.77773254,-122.2176393,Women/Children,(510) 535-7100 
Women On The Way Recovery Center,RES,20424 Haviland Avenue,HAYWARD,Alameda County,CA,94541,10,37.68046613,-122.1056191,Co-Ed,(510) 698-6688 
Terra Firma Diversion/Educational Services,NON,30086 Mission Boulevard,HAYWARD,Alameda County,CA,94544,0,37.62640287,-122.0429499,Co-Ed,(510) 675-9362 
"Magnolia Women'S Recovery Programs, Inc.",RES,682 Briergate Way,HAYWARD,Alameda County,CA,94544,6,37.62608801,-122.0388962,Women/Children,(510) 535-1346 
"Magnolia Women'S Recovery Programs, Inc.",RES,3408 Andover Street,OAKLAND,Alameda County,CA,94606,10,37.822239,-122.2637445,Women/Children,(510) 547-1531 
"Native American Health Center, Inc.",NON,3124 International Boulevard,OAKLAND,Alameda County,CA,94601,0,37.77788366,-122.2262675,Co-Ed,(510) 434-5421 
Brother And Sister Partnership,NON,4049 1St Street,LIVERMORE,Alameda County,CA,94551,0,37.69343776,-121.7483636,Co-Ed,(925) 292-5583 
Cal-Pep,NON,2811 Adeline Street,OAKLAND,Alameda County,CA,94608,0,37.820583,-122.2826265,Co-Ed,(510) 874-7850 
The Alliance For Community Wellness,NON,1315 Fruitvale Avenue,OAKLAND,Alameda County,CA,94601,0,37.77707394,-122.2261393,Women/Youth,(510) 300-3170 
The Alliance For Community Wellness,RES,425 Vernon Street,OAKLAND,Alameda County,CA,94610,20,37.81677989,-122.2535063,Men Only,(510) 465-4569 
St. Mary'S Center,NON,925 Brockhurst Street,OAKLAND,Alameda County,CA,94608,0,37.82343048,-122.2766753,Co-Ed,(510) 923-9600 
Lifelong Medical Care,NON,22971 Sutro Street,HAYWARD,Alameda County,CA,94541,0,37.6650696,-122.0835851,Co-Ed,(510) 728-8600 
Alameda Health System,NON,1411 E 31St Street,OAKLAND,Alameda County,CA,94602,0,37.79917496,-122.2311953,Co-Ed,(510) 437-5122 
"Horizon Services, Incorporated",RES,3845 Telegraph Avenue,OAKLAND,Alameda County,CA,94609,17,37.82739123,-122.2649789,Co-Ed,(510) 784-5874 
Alameda Health System,NON,2070 Clinton Ave,ALAMEDA,Alameda County,CA,94501,0,37.76326152,-122.2536832,Co-Ed,(510) 332-8568 
"Horizon Services, Incorporated",RES-DETOX,2035 Fairmont Drive,SAN LEANDRO,Alameda County,CA,94578,32,37.71012869,-122.1217562,Co-Ed,(510) 346-7833 
Skyway House,RES,3105 Esplanade,CHICO,Butte County,CA,95973,20,39.76734956,-121.8720274,Co-Ed,(530) 342-3046 
Skyway House,NON,292 Connors Court,CHICO,Butte County,CA,95926,0,39.75818241,-121.8574355,Co-Ed,(530) 898-9424 
Healthright 360,NON,33440 Alvarado Niles Road,UNION CITY,Alameda County,CA,94587,0,37.59183359,-122.0376622,Co-Ed,(510) 474-7414 
Therapeutic Solutions Professional Corporation,NON,3255 Esplanade,CHICO,Butte County,CA,95973-0255,0,39.772332,-121.878846,Co-Ed,(530) 899-3150 
"Community Action Agency Of Butte County, Inc.",NON,181 East Shasta Avenue,CHICO,Butte County,CA,95973-0523,0,39.76480171,-121.8669557,Co-Ed,(530) 712-2600 X845
Elijah House Foundation,NON,2167 Montgomery Street,OROVILLE,Butte County,CA,95965,0,39.51466881,-121.5536804,Men Only,(530) 854-4119 
Kiana Chapman,RES,2740 Oro Dam Blvd. E,OROVILLE,Butte County,CA,95966,40,39.50882178,-121.5438361,Men Only,(530) 533-5272 
Sierra Health And Wellness Centers Llc,RES-DETOX,40 Coyote Moon Trail,BANGOR,Butte County,CA,95914,12,39.399147,-121.4133435,Co-Ed,(530) 854-4119 
Kiana Chapman,NON,1881 Robinson Street,OROVILLE,Butte County,CA,95965,0,39.51182098,-121.5560123,Co-Ed,(530) 693-4290 
"Northern Valley Indian Health, Inc.",NON,845 West East Avenue,CHICO,Butte County,CA,95926-2002,0,39.74773535,-121.8764157,Co-Ed,(530) 934-4641 
"Turning Point Of Arnold, Llc",RES,1194 Cedar Street,ARNOLD,Calaveras County,CA,95223,12,38.25701172,-120.3516706,Co-Ed,(209) 822-3117 
"The Lakes Treatment Center, Inc.",RES-DETOX,88 Sanguinetti Court,COPPEROPOLIS,Calaveras County,CA,95228,6,37.91553983,-120.5986916,Co-Ed,(209) 768-5871 
County Of Colusa Department Of Behavioral Health,NON,162 E Carson Street,COLUSA,Colusa County,CA,95932-2880,0,39.20588935,-122.0061569,Co-Ed,(530) 458-0520 
"Changing Echoes, Inc.",RES-DETOX,7632 Pool Station Road,ANGELS CAMP,Calaveras County,CA,95222,30,38.09786899,-120.6598853,Co-Ed,(209) 785-3667 
Bi-Bett,RES-DETOX,2090 Commerce Avenue,CONCORD,Contra Costa County,CA,94520,20,37.97572895,-122.0467369,Men Only,(925) 676-2580 
"The Lakes Treatment Center, Inc.",RES-DETOX,7260 O'Byrnes Ferry Road,COPPEROPOLIS,Calaveras County,CA,95228,76,37.8963242,-120.5733002,Co-Ed,(209) 325-8526 
Bi-Bett,RES-DETOX,2931 Prospect Avenue,CONCORD,Contra Costa County,CA,94518,15,37.97173552,-122.0259867,Women Only,(925) 676-4840 
Bi-Bett,RES-DETOX,2 Davi Avenue,PITTSBURG,Contra Costa County,CA,94565,39,38.024352,-121.891419,Women/Children,(925) 427-1384 
Ujima Family Recovery Services,RES,904 Mellus Street,MARTINEZ,Contra Costa County,CA,94553,12,38.01590631,-122.1327929,Women/Children,(925) 229-0230 
"Alhambra Valley Retreat, Llc",RES,77 Quail Lane,MARTINEZ,Contra Costa County,CA,94553,6,37.96156902,-122.1343049,Men Only,(925) 286-7342 
Bi-Bett,RES,11540 Marsh Creek Road,CLAYTON,Contra Costa County,CA,94517,58,37.897983,-121.8654765,Men Only,(925) 672-5700 
Ujima Family Recovery Services,RES,1901 Church Lane,SAN PABLO,Contra Costa County,CA,94806,12,37.957464,-122.341788,Women/Children,(510) 236-3134 
